id,kind,jurisdiction,identifier,title,status,introduced,url,fears,controls,agencies
os-6d10f576-107b-411d-a1f2-ec91477f3dc0,bill,Pennsylvania,HB 1834,"An Act providing for the regulation of commercial data centers;
 imposing duties on the Pennsylvania Public Utility
 Commission, the Department of Human Services and the
 Pennsylvania Energy Development Authority; establishing the
 Data Center Low-Income Home Energy Assistance Program
 Enhancement Account and the Pennsylvania Energy Independence
 Account; providing for clean firm energy requirements,
 contract filing, commission review, disclosure requirements,
 backup generation standards, curtailment standards and
 certification and expedited interconnection for commercial
 data centers bringing incremental clean firm energy
 resources; and imposing penalties.",pending,2025-09-04,https://openstates.org/pa/bills/2025-2026/HB1834/,,data-center-limits,Pennsylvania Department of Human Services; Pennsylvania Energy Development Authority; Pennsylvania Public Utility Commission
os-f930de8e-b009-4fcf-b79c-08fb99c5f7cd,bill,Maryland,SB 8,Criminal Law - Identity Fraud - Artificial Intelligence and Deepfake Representations,passed,2025-08-26,https://openstates.org/md/bills/2026/SB8/,,,
os-4ebd00a2-a1c9-4b99-ac2a-27241b6cdfd7,bill,Colorado,HB 1009,Artificial Intelligence Systems,pending,2025-08-21,https://openstates.org/co/bills/2025B/HB1009/,bias,,
os-6f5a79ad-6ba7-4189-a690-8f35fc142e7a,bill,Colorado,SB 8,Tech-Neutral Anti-Discrimination Clarification Act,pending,2025-08-21,https://openstates.org/co/bills/2025B/SB8/,bias,,
os-ce25c4d9-d2fb-4bba-a16f-7fc43cb36cb9,bill,Colorado,HB 1008,Consumer Protections for Artificial Intelligence Interactions,pending,2025-08-21,https://openstates.org/co/bills/2025B/HB1008/,bias,labeling-mandates; mandatory-reporting; new-agency-powers,Colorado Attorney General; Colorado Civil Rights Division
os-665d6f0e-9dc6-4194-8281-49d19e9bb969,bill,New York,S 8484,Regulates the use of artificial intelligence in the provision of therapy or psychotherapy services,pending,2025-08-20,https://openstates.org/ny/bills/2025-2026/S8484/,,,
os-14f3081c-7e0b-44f3-9ca4-7e2123462f82,bill,Texas,HB 148,Relating to the use of artificial intelligence to score constructed responses on assessment instruments administered to public school students.,pending,2025-08-15,https://openstates.org/tx/bills/892/HB148/,,,
os-078bb450-c854-444e-b072-85da02476846,bill,New York,A 8962,Enacts the New York fundamental artificial intelligence requirements in (FAIR) news act,pending,2025-08-13,https://openstates.org/ny/bills/2025-2026/A8962/,,labeling-mandates,
us-119-hr-4873,bill,Congress,H.R. 4873,To codify Executive Order 14319 (relating to preventing woke AI in the Federal Government).,pending,2025-08-05,https://www.congress.gov/bill/119th-congress/house-bill/4873,,,
us-119-s-2606,bill,Congress,S. 2606,"A bill to require the Commander of United States Cyber Command to complete development of a roadmap for industry collaboration on artificial intelligence-enabled cyber capabilities for cyberspace operations of the Department of Defense, and for other purposes.",pending,2025-07-31,https://www.congress.gov/bill/119th-congress/senate-bill/2606,ai-cyberattacks,,
us-119-hr-4801,bill,Congress,H.R. 4801,Unleashing AI Innovation in Financial Services Act,pending,2025-07-29,https://www.congress.gov/bill/119th-congress/house-bill/4801,,mandatory-reporting; new-agency-powers,
fr-2025-14212,order,Executive Office of the President,Executive Order 14318,Accelerating Federal Permitting of Data Center Infrastructure,passed,2025-07-28,https://www.federalregister.gov/documents/2025/07/28/2025-14212/accelerating-federal-permitting-of-data-center-infrastructure,,,
fr-2025-14218,order,Executive Office of the President,Executive Order 14320,Promoting the Export of the American AI Technology Stack,passed,2025-07-28,https://www.federalregister.gov/documents/2025/07/28/2025-14218/promoting-the-export-of-the-american-ai-technology-stack,,,
us-119-hr-4628,bill,Congress,H.R. 4628,AI Impersonation Prevention Act of 2025,pending,2025-07-23,https://www.congress.gov/bill/119th-congress/house-bill/4628,,,
us-119-hr-4695,bill,Congress,H.R. 4695,Facial Recognition Act of 2025,pending,2025-07-23,https://www.congress.gov/bill/119th-congress/house-bill/4695,,,
os-759b16d5-b1a0-4a60-9a7f-de725aad8f48,bill,Texas,HB 167,Relating to the use of artificial intelligence to score constructed responses on assessment instruments administered to public school students.,pending,2025-07-22,https://openstates.org/tx/bills/891/HB167/,,,
fr-2025-13650,rule,Education Department,Proposed rule,Proposed Priority and Definitions-Secretary's Supplemental Priority and Definitions on Advancing Artificial Intelligence in Education,pending,2025-07-21,https://www.federalregister.gov/documents/2025/07/21/2025-13650/proposed-priority-and-definitions-secretarys-supplemental-priority-and-definitions-on-advancing,,,
os-ce73d65e-85c0-461f-a403-363d077bd2f7,bill,Texas,HB 142,Relating to required disclosures on certain political advertising that contains altered media; creating a criminal offense.,pending,2025-07-21,https://openstates.org/tx/bills/891/HB142/,,labeling-mandates,
