rank,name,type,lobbying on filings mentioning a tracked fear,fears mentioned
338,Okta,Lobbying client,80000,ai-cyberattacks
339,Black Hills,Lobbying client,78000,power-bills
340,University of New Mexico,Lobbying client,70000,power-bills
341,Complete College America,Lobbying client,70000,job-loss
342,Assoc for Diagnostics & Lab Medicine (fka Am Assoc of Clinical Chemistry),Lobbying client,60000,job-loss
343,Gen Digital,Lobbying client,60000,ai-cyberattacks
344,Alliance Defending Freedom,Lobbying client,60000,bias; deepfakes; kids-chatbots; loss-of-control
345,Highland Digital,Lobbying client,60000,power-bills
346,Valthos,Lobbying client,60000,china-race
347,Bsa Business Software Alliance,Lobbying client,60000,ai-cyberattacks
348,Bossier Parish Police Jury,Lobbying client,60000,ai-cyberattacks
349,Purdue University,Lobbying client,50000,job-loss
350,Lehigh University,Lobbying client,50000,job-loss; power-bills
351,Georgia State University Research Foundation,Lobbying client,50000,job-loss; kids-chatbots
352,University of Toledo,Lobbying client,50000,job-loss; power-bills
353,American Library Association,Lobbying client,50000,kids-chatbots; loss-of-control
354,Digitaleurope,Lobbying client,40000,ai-cyberattacks; china-race
355,Coalition on Adult Basic Education Dba Coabe,Lobbying client,40000,job-loss
356,Super Micro Computer,Lobbying client,30000,china-race; power-bills
357,Lifeline Data Centers,Lobbying client,30000,china-race
358,California Baptist University,Lobbying client,19500,job-loss
359,Pacific Gas and Electric Company,Lobbying client,3530000,ai-cyberattacks; job-loss; power-bills
360,American Petroleum Institute,Lobbying client,2780000,job-loss; power-bills
361,Unitedhealth Group,Lobbying client,1880000,ai-cyberattacks
362,Paramount Skydance,Lobbying client,1520000,kids-chatbots
363,National Rural Electric Cooperative Association (nreca),Lobbying client,980000,ai-cyberattacks; power-bills
364,Advanced Medical Technology Assn,Lobbying client,971000,ai-cyberattacks; china-race
365,American Health Care Association,Lobbying client,840000,china-race; job-loss; loss-of-control
366,Bipartisan Policy Center Action,Lobbying client,820000,power-bills
367,Siemens Medical Solutions USA,Lobbying client,700000,job-loss
368,American Federation of State County and Municipal Employees,Lobbying client,630000,job-loss
369,Electronic Transactions Association,Lobbying client,550000,ai-cyberattacks
370,Humana,Lobbying client,440000,ai-cyberattacks; job-loss
371,Large Public Power Council,Lobbying client,410000,ai-cyberattacks; power-bills
